feature,importance
newell_coupling_std_72h,0.07648004
electric_field_ey_mean_72h,0.06889619
dst_index_std_72h,0.044378843
electric_field_ey_mean_24h,0.0428132
p_dyn_std_72h,0.042247403
wind_sw_speed_std_72h,0.040147338
electric_field_ey_std_72h,0.03588849
kp_index_mean_72h,0.033655375
wind_sw_speed_mean_72h,0.033023875
electric_field_ey_std_24h,0.031892642
wind_sw_speed_std_24h,0.031868305
wind_sw_speed_mean_6h,0.03110149
kp_index_mean_24h,0.030703792
dst_index_mean_24h,0.030006139
newell_coupling_mean_72h,0.029942503
kp_index_std_72h,0.028022602
wind_sw_speed_mean_24h,0.027521273
p_dyn_mean_72h,0.027362423
p_dyn_std_24h,0.025536027
kp_index_std_24h,0.024032686
p_dyn_mean_24h,0.022437848
dst_index_mean_72h,0.020223103
newell_coupling_std_24h,0.018920349
dst_index_std_24h,0.01881551
dst_index,0.015249966
p_dyn_mean_6h,0.012625237
kp_index_mean_6h,0.012310524
wind_sw_speed_mean_1h,0.01208145
electric_field_ey_mean_6h,0.011150183
newell_coupling_mean_24h,0.010691193
p_dyn_std_6h,0.009285503
dst_index_mean_6h,0.008911536
wind_imf_bx,0.008150562
wind_sw_density,0.006539214
newell_coupling_std_6h,0.006468058
kp_index,0.0064333524
kp_index_mean_1h,0.006378763
p_dyn_mean_1h,0.005952688
wind_sw_speed_std_6h,0.005445968
dst_index_mean_1h,0.005179741
wind_thermal_spd,0.0044988547
wind_imf_bt,0.004349568
electric_field_ey_std_6h,0.0037585981
wind_sw_speed,0.0035553928
newell_coupling_mean_6h,0.002714838
wind_imf_by,0.0024224084
kp_index_std_6h,0.0023737834
dst_gradient_6h,0.0023712127
dst_index_std_6h,0.0019471679
p_dyn,0.0019459528
electric_field_ey_std_1h,0.00155102
newell_coupling_mean_1h,0.0015465497
p_dyn_std_1h,0.0013653372
electric_field_ey_mean_1h,0.0011341834
wind_imf_bz,0.0010552066
wind_sw_speed_std_1h,0.0010270851
newell_coupling,0.0008293793
newell_coupling_std_1h,0.00081003504
dst_index_std_1h,0.0006833737
kp_index_std_1h,0.0006709768
electric_field_ey,0.0006177208
